,ACCIDENT_NO,LONGITUDE,LATITUDE,LGA_NAME,ROAD,RADIUS,NUMBER OF ACCIDENTS
1044,T20160006188,147.05762,-36.918620000000004,ALPINE,GREAT ALPINE ROAD,3.9442609522498744 km,18
1045,T20140000388,142.86026999999999,-38.59922,MOYNE,GREAT OCEAN ROAD,0.0 km,1
1046,T20150024682,146.06205,-37.34908,MANSFIELD,EILDON-JAMIESON ROAD,0.40079854146864313 km,4
1047,T20140001213,144.50343999999998,-36.94838,BENDIGO,MANGANS LANE,0.0 km,1
1048,T20130026913,142.08619,-34.2366,MILDURA,WALNUT AVENUE,2.08748326737832 km,10
1049,T20130026917,146.25542,-38.447990000000004,SOUTH GIPPSLAND,BOOLARRA SOUTH-MIRBOO NORTH ROAD,0.0 km,1
1050,T20140000412,147.11092,-36.105340000000005,TOWONG,FLAGSTAFF ROAD,0.36173700776017437 km,2
1051,T20140003979,145.49021000000002,-36.61014,STRATHBOGIE,MURCHISON-VIOLET TOWN ROAD,0.5503895427449143 km,2
1052,T20140000816,143.14921,-37.96875,CORANGAMITE,HAMILTON HIGHWAY,0.0 km,1
1053,T20140000831,142.21029,-34.33189,MILDURA,DUMOSA STREET,1.2207111913045716 km,3
1054,T20130026942,141.53468,-37.81735,GLENELG,PORTLAND-CASTERTON ROAD,0.0 km,1
1055,T20140013723,146.74731,-38.15741,WELLINGTON,PRINCES HIGHWAY,2.8718727942762654 km,7
1056,T20150006272,146.15537,-38.61957,SOUTH GIPPSLAND,SOUTH GIPPSLAND HIGHWAY,1.3438835105444675 km,5
1057,T20140000868,146.12945,-38.74201,SOUTH GIPPSLAND,MEENIYAN-PROMONTORY ROAD,0.0 km,1
1058,T20140000006,146.70151,-38.45802,WELLINGTON,GREIGS CREEK ROAD,0.0 km,1
1059,T20140000020,148.55369,-37.79564,EAST GIPPSLAND,MARLO-CONRAN ROAD,0.0 km,1
1060,T20140000023,145.91287,-38.50496,SOUTH GIPPSLAND,BASS HIGHWAY,0.0 km,1
1061,T20140000030,149.20648,-37.34035,EAST GIPPSLAND,MONARO HIGHWAY,0.0 km,1
1062,T20140000462,145.2341,-35.833859999999994,MOIRA,RIVER ROAD,0.0 km,1
1063,T20140000878,143.90258,-36.833659999999995,LODDON,BENDIGO-MARYBOROUGH ROAD,0.0 km,1
1064,T20140000882,147.05616,-36.31819,INDIGO,GUNDOWRING ROAD,0.0 km,1
1065,T20140001285,146.22028999999998,-37.31065,MANSFIELD,JAMIESON-LICOLA ROAD,0.5292837151746232 km,2
1066,T20150014094,145.73205,-37.20783,MURRINDINDI,GOULBURN VALLEY HIGHWAY,1.4461063782142858 km,4
1067,T20140000466,143.78498000000002,-38.603120000000004,COLAC OTWAY,BENWERRIN-MT SABINE ROAD,0.0 km,1
1068,T20150020593,147.58652,-37.70245,EAST GIPPSLAND,BULLUMWAAL ROAD,0.6889171865609686 km,4
1069,T20150019744,145.92348,-37.221090000000004,MURRINDINDI,EMBANKMENT ROAD,0.24470683342303481 km,2
1070,T20140001313,146.79138999999998,-36.423629999999996,INDIGO,HILLSBOROUGH ROAD,0.3075309873657178 km,2
1071,T20140001317,146.4061,-37.022890000000004,MANSFIELD,EVANS CREEK TRACK,0.14843581589497482 km,3
1072,T20140000088,146.43446,-37.33178,MANSFIELD,MT SUNDAY ROAD,0.0 km,1
1073,T20140004403,146.57601,-36.166709999999995,INDIGO,HUME FREEWAY,1.812553686250753 km,9
1074,T20140000503,145.89921999999999,-38.566320000000005,SOUTH GIPPSLAND,KOONWARRA-INVERLOCH ROAD,1.2028722455935985 km,4
1075,T20140000936,144.02858999999998,-35.92095,GANNAWARRA,MACORNA SOUTH ROAD,0.0 km,1
1076,T20140000943,144.63957,-36.0721,CAMPASPE,ODWYER ROAD,0.0 km,1
1077,T20150004392,145.48598,-36.79217,STRATHBOGIE,HUME FREEWAY,0.043107927000438986 km,3
1078,T20140016283,147.12475,-36.9748,(MOUNT HOTHAM),GREAT ALPINE ROAD,0.5529120775141056 km,9
1079,T20140001351,149.14553999999998,-37.71209,EAST GIPPSLAND,TAMBOON ROAD,0.0 km,1
1080,T20140000105,145.38297,-35.86978,MOIRA,WASERS ROAD,0.37402967214116717 km,3
1081,T20150004973,145.48102,-37.54783,MURRINDINDI,HEALESVILLE-KINGLAKE ROAD,0.4827351948713952 km,7
1082,T20170012750,146.31246000000002,-36.90395,WANGARATTA,MANSFIELD-WHITFIELD ROAD,0.1704749315916018 km,2
1083,T20170008308,146.79495,-38.13755,WELLINGTON,PRINCES HIGHWAY EAST,0.2400851209774539 km,3
1084,T20170024781,145.6539,-36.81025,STRATHBOGIE,EUROA-STRATHBOGIE ROAD,1.515665244762426 km,4
1085,T20140000122,143.60728,-36.410779999999995,LODDON,BOUNDARY STREET,0.08085995288692328 km,2
1086,T20160017671,144.30525,-37.46924,MOORABOOL,GREENDALE-TRENTHAM ROAD,1.7942271091093591 km,9
1087,T20150002000,144.27765,-37.48908,MOORABOOL,,2.2279564898068096 km,6
1088,T20140012671,144.21729,-36.05442,LODDON,MCNEILL ROAD,0.0 km,1
1089,T20140012678,145.97506,-38.30937,BAW BAW,GEARYS ROAD,0.0 km,1
1090,T20140013485,140.9908,-37.84449,GLENELG,PRINCES HIGHWAY,0.0 km,1
1091,T20150004488,146.07233,-38.2347,BAW BAW,YARRAGON SOUTH ROAD,0.7387825641489195 km,2
1092,T20180003713,146.66901000000001,-37.71497,WELLINGTON,LICOLA ROAD,0.23951529400179183 km,2
1093,T20140013894,145.3168,-36.80782,STRATHBOGIE,WILLIAMS ROAD,0.0 km,1
1094,T20180016212,143.92828,-37.36977,HEPBURN,CRESWICK-NEWSTEAD ROAD,0.5176593864075772 km,3
1095,T20140013109,143.78313,-35.92528,LODDON,BOORT-KERANG ROAD,0.0 km,1
1096,T20140013127,142.56614,-36.873509999999996,HORSHAM,GILES RIVER ROAD,0.0 km,1
1097,T20180011899,144.6536,-37.5544,MACEDON RANGES,MILLETT ROAD,1.0553942023906615 km,3
1098,T20140012712,143.65821,-37.96933,GOLDEN PLAINS,COLAC-BALLARAT ROAD,0.0 km,1
1099,T20140012716,143.56708999999998,-35.38543,SWAN HILL,MURRAY VALLEY HIGHWAY,0.0 km,1
1100,T20140013138,143.26649,-35.47383,SWAN HILL,HAYES STREET,0.1364534542978642 km,2
1101,T20190000969,145.86719,-36.60109,BENALLA,HUME FREEWAY,1.901537986553758 km,9
1102,T20160016030,146.40311,-38.194390000000006,LATROBE,LATROBE ROAD,0.35196134703286747 km,3
1103,T20140018505,146.40035,-36.016909999999996,INDIGO,DISTILLERY ROAD,0.9774512246720883 km,5
1104,T20180021999,143.39012,-37.42965,PYRENEES,WESTERN HIGHWAY,1.4810517095129005 km,11
1105,T20140013562,143.43272,-37.45936,PYRENEES,BEAUFORT-CARNGHAM ROAD,0.0 km,1
1106,T20140012355,142.26805,-38.360859999999995,MOYNE,SKENES ROAD,0.7026781043204647 km,2
1107,T20140012367,149.57977,-37.48191,EAST GIPPSLAND,PRINCES HIGHWAY,0.0 km,1
1108,T20160014319,145.49053,-36.23879,SHEPPARTON,KATAMATITE-SHEPPARTON MAIN ROAD,0.530558791073154 km,4
1109,T20140013188,145.68169,-36.09908,MOIRA,KATAMATITE-NATHALIA ROAD,0.0 km,1
1110,T20140013218,145.46806,-36.13089,MOIRA,KELLYS ROAD,0.0 km,1
1111,T20140013577,144.98134,-36.35536,CAMPASPE,WEBB ROAD,0.8065615555911567 km,3
1112,T20140012411,143.11713999999998,-38.29397,CORANGAMITE,CAMPERDOWN-COBDEN ROAD,0.12781609982709483 km,2
1113,T20170022899,145.66521,-37.47039,MURRINDINDI,LOOP ROAD,1.1675827543912463 km,3
1114,T20140013245,146.70924,-37.83182,WELLINGTON,CHOMLEYS ROAD,0.0 km,1
1115,T20170017461,141.2232,-35.26303,MILDURA,MALLEE HIGHWAY,0.4669015413625804 km,3
1116,T20140013646,142.49937,-38.326570000000004,WARRNAMBOOL,RODGER PLACE,0.0 km,1
1117,T20140013650,142.13805,-36.73203,HORSHAM,WIMMERA HIGHWAY,0.0 km,1
1118,T20140012850,143.23787,-38.07604,CORANGAMITE,CAMPERDOWN-LISMORE ROAD,0.0 km,1
1119,T20150015803,145.83846,-35.995090000000005,MOIRA,MURRAY VALLEY HIGHWAY,1.5139800435360775 km,4
1120,T20140012866,142.30147,-38.31047,MOYNE,PENSHURST-PORT FAIRY ROAD,0.0 km,1
1121,T20140013256,144.0215,-38.09689,GOLDEN PLAINS,HAMILTON HIGHWAY,0.7992318038065603 km,3
1122,T20180013355,147.16618,-36.742340000000006,ALPINE,BOGONG HIGH PLAINS ROAD,0.7599090868884943 km,4
1123,T20160026145,141.39674,-37.587590000000006,GLENELG,MILLER STREET,1.570009725512651 km,8
1124,T20140013279,142.11139,-38.13617,MOYNE,WOOLSTHORPE-HEYWOOD ROAD,0.0 km,1
1125,T20140013685,144.41593,-37.44942,MOORABOOL,FIRTH ROAD,0.38101573293020935 km,3
1126,T20180002305,143.63698,-38.40128,COLAC OTWAY,OAKLEYS ROAD,0.01078583575031887 km,2
1127,T20140013312,145.03808,-37.17508,MITCHELL,SUGARLOAF CREEK ROAD,0.0 km,1
1128,T20140013329,142.46527,-38.252629999999996,MOYNE,WARRNAMBOOL-CARAMUT ROAD,0.6038497602513767 km,3
1129,T20140013366,143.07575,-38.32351,CORANGAMITE,NEYLON STREET,1.4649996825826381 km,10
1130,T20170024628,143.38561,-38.68241,COLAC OTWAY,GREAT OCEAN ROAD,0.79493440752541 km,6
1131,T20140012963,147.41636,-37.88236,EAST GIPPSLAND,PRINCES HIGHWAY,0.5294092538037662 km,2
1132,T20140012977,146.53533000000002,-36.22911,INDIGO,WEST TRIANGLE ROAD,0.0 km,1
1133,T20170007573,142.50738,-36.35414,YARRIAMBIACK,STAWELL-WARRACKNABEAL ROAD,0.17950992852526954 km,2
1134,T20150014255,144.4311,-36.74565,BENDIGO,MINARDS LANE,0.3974216811336493 km,2
1135,T20180003590,142.84963,-35.507459999999995,BULOKE,HORACE STREET,0.630979514981352 km,6
1136,T20160002265,145.69227,-35.95883,MOIRA,MURRAY VALLEY HIGHWAY,0.2985064041555381 km,2
1137,T20150006344,142.79358,-38.30154,MOYNE,PRINCES HIGHWAY,0.5318868243161331 km,2
1138,T20150009170,143.29975,-34.98296,SWAN HILL,MURRAY VALLEY HIGHWAY,1.9392202214458796 km,5
1139,T20140017751,146.94958,-38.252359999999996,WELLINGTON,ROSEDALE-STRADBROKE ROAD,0.0 km,1
1140,T20140018140,145.1056,-36.89165,MITCHELL,NORTHWOOD ROAD,0.0 km,1
1141,T20140018541,144.3614,-37.235890000000005,MACEDON RANGES,LAURISTON ROAD,0.0 km,1
1142,T20140018559,143.91036,-35.52324,GANNAWARRA,MURRABIT WEST ROAD,0.0 km,1
1143,T20180017367,145.41631,-37.09375,MURRINDINDI,HIGHLANDS ROAD,0.8247052641486416 km,3
1144,T20140017399,146.41422,-36.766729999999995,WANGARATTA,KING VALLEY ROAD,0.06764314514863094 km,2
1145,T20140017401,144.1071,-37.39163,HEPBURN,TELEGRAPH ROAD,1.1036249915731366 km,3
1146,T20140017761,143.41957,-37.59771,PYRENEES,CARNGHAM-STREATHAM ROAD,0.0 km,1
1147,T20180002830,145.97866000000002,-38.45044,SOUTH GIPPSLAND,STRZELECKI HIGHWAY,0.27151539221336013 km,3
1148,T20140018581,145.24633,-37.43193,MURRINDINDI,WHITTLESEA-YEA ROAD,0.464025652767843 km,3
1149,T20150016981,141.50303,-37.558409999999995,GLENELG,GLENELG HIGHWAY,0.09123990977686579 km,2
1150,T20170024618,144.93194,-36.39868,CAMPASPE,WATSON ROAD,0.6677266277578597 km,2
1151,T20130017592,144.04762,-38.299009999999996,SURF COAST,CAPE OTWAY ROAD,0.9320783996495253 km,4
1152,T20140018219,143.28131000000002,-36.89648,NORTHERN GRAMPIANS,MOUNT SEPARATION ROAD,0.0 km,1
1153,T20170007753,146.55368,-38.60429,WELLINGTON,RIDGE ROAD,1.006400115614203 km,4
1154,T20140018639,145.69294,-38.500609999999995,BASS COAST,SHEEPWAYS ROAD,0.0 km,1
1155,T20140018640,144.7918,-37.3813,MACEDON RANGES,JOYCES ROAD,0.0 km,1
1156,T20150005936,145.53925,-37.16733,MURRINDINDI,GOULBURN VALLEY HIGHWAY,1.6941109614364 km,10
1157,T20140017459,145.35871,-37.20418,MURRINDINDI,GOULBURN VALLEY HIGHWAY,0.5069658399170875 km,2
1158,T20160017322,145.76416,-38.506409999999995,SOUTH GIPPSLAND,OUTTRIM-MOYARRA ROAD,0.36019779933977325 km,4
1159,T20140017838,146.67293,-37.81335,WELLINGTON,LICOLA ROAD,0.17633377657819316 km,2
1160,T20180000118,143.7856,-36.9467,CENTRAL GOLDFIELDS,BENDIGO-MARYBOROUGH ROAD,0.7883762548080175 km,3
1161,T20150026829,146.02283,-38.17832,BAW BAW,LITTLE MOE RIVER ROAD,0.3189430577541771 km,3
1162,T20140017117,143.99177,-36.71074,LODDON,YORKSHIRE ROAD,0.0 km,1
1163,T20140017124,145.94396,-36.84163,BENALLA,LIMA EAST ROAD,0.0 km,1
1164,T20140017480,142.75218,-37.532759999999996,ARARAT,MAROONA-GLENTHOMPSON ROAD,0.0 km,1
1165,T20160002135,145.72163,-36.06989,MOIRA,KATAMATITE-YARRAWONGA ROAD,0.026064886837842173 km,2
1166,T20140017482,142.06252,-36.6247,HORSHAM,COURTNEYS ROAD,0.0 km,1
1167,T20140018270,148.11006,-37.64074,EAST GIPPSLAND,BRUTHEN-BUCHAN ROAD,0.0 km,1
1168,T20140017127,141.98935,-37.48425,SOUTHERN GRAMPIANS,NATIMUK-HAMILTON ROAD,0.0 km,1
1169,T20130019712,143.32396,-35.0425,SWAN HILL,MURRAY VALLEY HIGHWAY,1.0142715587661337 km,3
1170,T20130020150,143.63302,-38.11721,COLAC OTWAY,COLAC-BALLARAT ROAD,0.0 km,1
1171,T20130018916,146.86893999999998,-37.95942,WELLINGTON,MCKINNONS ROAD,0.0 km,1
1172,T20150022950,144.37344,-37.195170000000005,MACEDON RANGES,SULLIVAN STREET,1.0116836039196195 km,3
1173,T20160008929,143.86855,-36.19962,LODDON,BOORT-FERNIHURST ROAD,0.04889963498782318 km,2
1174,T20130020174,142.68194,-38.15074,MOYNE,HOPKINS HIGHWAY,0.6835691885970594 km,2
1175,T20130019307,145.17928999999998,-36.93372,STRATHBOGIE,SEYMOUR-AVENEL ROAD,0.03842853387096649 km,3
1176,T20130019308,145.43184,-36.48915,SHEPPARTON,CENTRAL KIALLA ROAD,0.012231459209933763 km,2
1177,T20130020198,148.09243999999998,-37.322590000000005,EAST GIPPSLAND,TIMBARRA SETTLEMENT ROAD,0.0 km,1
1178,T20130018951,145.03186000000002,-36.44081,CAMPASPE,MIDLAND HIGHWAY,0.0 km,2
1179,T20130018962,145.50107,-37.17266,MURRINDINDI,GOULBURN VALLEY HIGHWAY,0.0 km,1
1180,T20130019769,143.99695,-36.74504,LODDON,WIMMERA HIGHWAY,0.0 km,1
1181,T20130019803,144.40208,-37.4227,MACEDON RANGES,CAMPASPE ROAD,0.0 km,1
1182,T20150026907,149.25411,-37.56868,EAST GIPPSLAND,PRINCES HIGHWAY,0.49545044293543167 km,2
1183,T20130018972,144.64353,-36.2863,CAMPASPE,LOWE ROAD,0.0 km,1
1184,T20150023912,144.75037,-36.85375,BENDIGO,DONELLYS LANE,0.2853357203346142 km,2
1185,T20130019389,145.06813,-36.3871,SHEPPARTON,FENAUGHTY ROAD,0.05841953585539482 km,2
1186,T20130019806,146.99691,-38.172,WELLINGTON,ROSEDALE-LONGFORD ROAD,0.0 km,1
1187,T20130019831,146.08799,-36.6639,BENALLA,BENALLA-TATONG ROAD,0.0 km,1
1188,T20130020247,145.14382,-37.0944,MITCHELL,UPPER GOULBURN ROAD,0.0 km,1
1189,T20130019002,147.20436,-37.51562,WELLINGTON,DARGO ROAD,0.0 km,1
1190,T20160004091,143.73344,-36.96285,CENTRAL GOLDFIELDS,BET BET CREEK ROAD,1.4392319407443062 km,4
1191,T20130019854,146.5645,-38.43199,WELLINGTON,BULGA PARK ROAD,0.1022452720253233 km,2
1192,T20130019860,141.71579,-37.53176,SOUTHERN GRAMPIANS,COLERAINE-BALMORAL ROAD,0.0 km,1
1193,T20130020273,145.44963,-37.211,MURRINDINDI,GOULBURN VALLEY HIGHWAY,0.0 km,1
1194,T20130020281,147.58388,-37.348279999999995,EAST GIPPSLAND,ANGORA RANGE ROAD,0.0 km,1
1195,T20130019435,147.16619,-37.97875,WELLINGTON,STRATFORD-BENGWORDEN ROAD,0.0 km,1
1196,T20130019440,147.05898,-38.21963,WELLINGTON,SOUTH GIPPSLAND HIGHWAY,0.0 km,1
1197,T20130019873,146.68042,-38.06953,WELLINGTON,SALE-TOONGABBIE ROAD,0.0 km,1
1198,T20130020300,142.75874,-37.71195,ARARAT,GLENELG HIGHWAY,0.0 km,1
1199,T20140023861,146.92893999999998,-37.96678,WELLINGTON,TRARALGON-MAFFRA ROAD,0.43981651763906726 km,2
1200,T20130020310,145.78339,-36.716879999999996,STRATHBOGIE,UPPER BOHO ROAD,0.6782892055366885 km,2
1201,T20130017817,146.36196,-38.34984,LATROBE,MIDDLE CREEK ROAD,0.0 km,1
1202,T20130018224,143.23673,-38.65437,CORANGAMITE,,0.0 km,1
1203,T20150024058,147.18555,-38.36497,WELLINGTON,SEASPRAY ROAD,0.9107237219419035 km,3
1204,T20130018227,147.88261,-37.7244,EAST GIPPSLAND,BRUTHEN-NOWA NOWA ROAD,0.0 km,1
1205,T20130018243,145.03918000000002,-36.99518,MITCHELL,SALAMAUA STREET,0.4092895405626018 km,2
1206,T20130018661,144.32546000000002,-37.44727,MOORABOOL,OLD BLACKWOOD ROAD,0.9547871032764045 km,3
1207,T20130018666,146.00915,-36.77762,BENALLA,MIDLAND HIGHWAY,0.2270230460973293 km,2
1208,T20130018671,143.93606,-37.61208,MOORABOOL,BUTLERS ROAD,1.415710516679219 km,4
1209,T20130017398,146.05764,-38.68587,SOUTH GIPPSLAND,MEENIYAN-PROMONTORY ROAD,0.07879763741407653 km,2
1210,T20180020974,141.62803,-38.167120000000004,GLENELG,PRINCES HIGHWAY,0.3963471805469561 km,2
1211,T20160024054,143.26445,-36.94076,PYRENEES,CENTRE ROAD,0.5514375963515428 km,2
1212,T20130018267,146.08332,-38.22039,BAW BAW,ROBERTS ROAD,0.0 km,1
1213,T20130017436,145.98493,-38.13238,BAW BAW,LILLICO ROAD,0.04564408327528197 km,2
1214,T20130018277,147.13836,-37.78515,WELLINGTON,LETTER BOX ROAD,0.0 km,1
1215,T20160010915,143.1894,-38.43345,CORANGAMITE,TIMBOON-COLAC ROAD,1.167288139919139 km,5
1216,T20130017456,144.05011000000002,-38.15786,SURF COAST,PEELS ROAD,0.0 km,1
1217,T20130017905,145.13804,-37.31023,MITCHELL,MAIN MOUNTAIN ROAD,2.3107855773355985 km,10
1218,T20160021528,142.71421999999998,-38.337509999999995,MOYNE,PRINCES HIGHWAY,1.3791096961191756 km,3
1219,T20150023022,145.80196999999998,-36.609559999999995,STRATHBOGIE,HUME FREEWAY,2.3566294359232582 km,9
1220,T20140017656,144.49626,-36.784240000000004,BENDIGO,MCIVOR HIGHWAY,1.648730091393383 km,11
1221,T20160007745,145.86754,-38.53719,SOUTH GIPPSLAND,BASS HIGHWAY,1.997707743977103 km,9
1222,T20130017976,144.56561000000002,-36.77041,BENDIGO,AXEDALE-TOOLLEEN ROAD,0.0 km,1
1223,T20130024964,145.96795,-38.08911,BAW BAW,BLOOMFIELD ROAD,1.5284545993423182 km,9
1224,T20130017111,142.65775,-38.22087,MOYNE,HOPKINS HIGHWAY,0.865937910382237 km,4
1225,T20170000389,146.27815,-37.99799,BAW BAW,GOOD HOPE CREEK ROAD,0.7714837268539816 km,4
1226,T20130017557,146.01224,-37.52151,MURRINDINDI,BIG RIVER ROAD,0.8412363882648363 km,4
1227,T20130018000,147.46114,-37.093070000000004,EAST GIPPSLAND,HIGH FOREST ROAD,0.0 km,1
1228,T20130017583,146.06365,-37.17703,MANSFIELD,HOWES CREEK-GOUGHS BAY ROAD,0.8939577253801506 km,5
1229,T20130017588,142.85992,-34.897240000000004,SWAN HILL,ROBINVALE-SEA LAKE ROAD,0.0 km,1
1230,T20140016642,147.803,-37.777229999999996,EAST GIPPSLAND,STEPHENSON ROAD,1.3552098325411888 km,4
1231,T20140002935,143.94088,-36.60123,LODDON,MAIN STREET,0.5281681694217853 km,5
1232,T20130017148,146.09777,-37.998979999999996,BAW BAW,H TREE EXTENSION ROAD,0.0 km,1
1233,T20170010200,142.99158,-36.37765,BULOKE,WOODS STREET,1.3799461193365925 km,4
1234,T20130017162,146.35745,-37.81975,BAW BAW,THOMSON VALLEY ROAD,0.0 km,1
1235,T20130017605,146.84902,-36.5022,ALPINE,SWITCHBACK ROAD,0.0 km,1
1236,T20130017610,145.53264,-36.13062,MOIRA,DRUMANURE ROAD,0.0 km,1
1237,T20150000760,146.01446,-36.56244,BENALLA,HUME FREEWAY,1.2250732745373938 km,5
1238,T20130017180,143.42354,-37.37993,PYRENEES,BEAUFORT-LEXTON ROAD,1.156014351324494 km,3
1239,T20130017190,142.16777,-38.383379999999995,MOYNE,PRINCES HIGHWAY,0.0 km,1
1240,T20150005209,145.70424,-37.19495,MURRINDINDI,NIHIL STREET,2.359639633109688 km,15
1241,T20140020767,143.97234,-37.507329999999996,MOORABOOL,BALLARAT-DAYLESFORD ROAD,0.46611604629819653 km,2
1242,T20130017222,145.99738,-36.96483,MANSFIELD,MIDLAND LINK HIGHWAY,0.0 km,1
1243,T20130018512,145.75279,-38.177459999999996,BAW BAW,COSTER ROAD,0.5969328047280794 km,2
1244,T20130017225,142.30363,-36.78901,HORSHAM,WESTERN HIGHWAY,0.0917106914262749 km,2
1245,T20130017229,144.36748,-37.892759999999996,GEELONG,BACCHUS MARSH-GEELONG ROAD,0.9375956449215617 km,6
1246,T20160028100,145.634,-37.5779,MURRINDINDI,MAROONDAH HIGHWAY,1.9411008742202591 km,11
1247,T20180013894,143.96913999999998,-37.63767,MOORABOOL,YENDON NO 2 ROAD,0.8012419209902198 km,6
1248,T20130017680,145.22286,-36.38713,SHEPPARTON,TATURA-UNDERA ROAD,0.0 km,1
1249,T20150007161,142.85626000000002,-37.0122,NORTHERN GRAMPIANS,VINEYARD ROAD,0.9574892355948117 km,4
1250,T20130017248,141.33334,-36.55894,WEST WIMMERA,PLAINS TRACK,0.0 km,1
1251,T20150012152,143.61105,-37.61518,PYRENEES,SMYTHESDALE-SNAKE VALLEY ROAD,0.26553144792187605 km,3
1252,T20170008153,144.79766,-37.03622,MITCHELL,NORTHERN HIGHWAY,0.012194574827801693 km,2
1253,T20130025053,142.80626999999998,-37.10857,NORTHERN GRAMPIANS,WESTERN HIGHWAY,0.6232448451811335 km,5
1254,T20160011603,141.44159,-38.22535,GLENELG,PORTLAND-NELSON ROAD,3.7369346490533406 km,9
1255,T20140003889,146.10746,-36.969809999999995,MANSFIELD,MANSFIELD-WHITFIELD ROAD,0.6902241276144931 km,4
1256,T20150003869,146.13338000000002,-37.85321,BAW BAW,MT BAW BAW TOURIST ROAD,0.762725975307859 km,3
1257,T20140015405,143.87198,-38.59597,COLAC OTWAY,WYE ROAD,0.0 km,1
1258,T20140014193,144.65305,-36.615759999999995,CAMPASPE,NORTHERN HIGHWAY,0.0 km,1
1259,T20140015007,146.56795,-36.1924,INDIGO,OLD CEMETERY ROAD,0.0 km,1
1260,T20140015012,145.53139,-35.84937,MOIRA,GREEN LANE,0.0 km,1
1261,T20190000746,146.72442,-36.37528,INDIGO,STANLEY ROAD,1.0957893860230017 km,4
1262,T20140014206,144.57824,-37.21286,MACEDON RANGES,BAYNTON ROAD,0.0 km,1
1263,T20170001000,143.32908,-37.68573,PYRENEES,GLENELG HIGHWAY,1.2851038387365636 km,3
1264,T20140014644,146.67136000000002,-38.58406,WELLINGTON,SOUTH GIPPSLAND HIGHWAY,0.0 km,1
1265,T20160008875,144.22836999999998,-35.84583,GANNAWARRA,COHUNA-LEITCHVILLE ROAD,1.0530577746678147 km,3
1266,T20150015976,143.11700000000002,-37.33899,ARARAT,WESTERN HIGHWAY,1.5784143569019427 km,5
1267,T20140015450,143.74793,-36.018879999999996,LODDON,BOORT-KERANG ROAD,0.0 km,1
1268,T20140014651,148.05381,-37.67977,EAST GIPPSLAND,BRUTHEN-BUCHAN ROAD,0.5114115282040429 km,2
1269,T20140014654,142.03804,-36.26944,HINDMARSH,DIMBOOLA-RAINBOW ROAD,0.0 km,1
1270,T20140015465,146.86761,-36.65092,ALPINE,GREAT ALPINE ROAD,0.6988505723541847 km,4
1271,T20150005192,144.8524,-37.10549,MITCHELL,NORTHERN HIGHWAY,1.4081752047140508 km,5
1272,T20140014681,147.83131,-37.442,EAST GIPPSLAND,GREAT ALPINE ROAD,0.0 km,1
1273,T20140015070,145.86938,-37.33892,MURRINDINDI,ROYSTON ROAD,0.0 km,1
1274,T20140014289,147.09335,-36.5847,ALPINE,BAY CREEK LANE,0.0 km,1
1275,T20140015115,141.38083999999998,-36.98383,WEST WIMMERA,CHARAM-WOMBELANO ROAD,0.0 km,1
1276,T20170018642,145.17948,-37.15744,MITCHELL,WEST FALLS ROAD,2.476105882224768 km,12
1277,T20140015147,147.07171,-36.86053,ALPINE,GREAT ALPINE ROAD,0.17503055415649216 km,4
1278,T20140015150,144.15417,-35.83209,GANNAWARRA,COHUNA-MCMILLANS ROAD,0.0 km,1
1279,T20140015166,142.31101999999998,-34.35561,MILDURA,JOHNS WAY,0.0 km,1
1280,T20150017982,144.18909,-37.364340000000006,HEPBURN,DAYLESFORD-TRENTHAM ROAD,1.4841439505148661 km,6
1281,T20140014378,146.67021,-37.9114,WELLINGTON,BOUNDARY TRACK,0.0 km,1
1282,T20140014382,144.24029,-37.21006,HEPBURN,VAUGHAN SPRINGS ROAD,0.0 km,1
1283,T20140015369,141.73801,-38.135040000000004,GLENELG,WOOLSTHORPE-HEYWOOD ROAD,0.3622017307236075 km,2
1284,T20140015201,142.61775,-38.053340000000006,MOYNE,HEXHAM-BALLANGEICH ROAD,0.024552153588046816 km,2
1285,T20140014005,141.28772,-37.0408,WEST WIMMERA,CHARLES STREET,0.6002983585463054 km,2
1286,T20150009615,146.10442,-37.45697,MURRINDINDI,BIG RIVER ROAD,0.9548073325213687 km,3
1287,T20140015219,143.28245,-37.190329999999996,PYRENEES,PYRENEES HIGHWAY,0.5944223805565774 km,2
1288,T20140015237,143.31825,-38.6316,COLAC OTWAY,LAVERS HILL-COBDEN ROAD,0.0 km,1
1289,T20140014444,146.67873,-37.85348,WELLINGTON,FOREST EDGE TRACK,0.1400112710110099 km,2
1290,T20140014818,143.42225,-38.74244,COLAC OTWAY,GREAT OCEAN ROAD,0.0 km,1
1291,T20140015254,142.97551,-38.54162,CORANGAMITE,CAMERONS HILL ROAD,0.0 km,1
1292,T20140014047,144.56291000000002,-36.56668,BENDIGO,MIDLAND HIGHWAY,1.1207503213276582 km,3
1293,T20140014449,143.70264,-36.649029999999996,LODDON,INGLEWOOD-RHEOLA ROAD,0.6060986740838139 km,2
1294,T20140014461,144.35866000000001,-35.95601,CAMPASPE,MURRAY VALLEY HIGHWAY,0.0 km,1
1295,T20140014860,142.08001000000002,-34.30857,MILDURA,BENETOOK AVENUE,0.0 km,1
1296,T20140015267,144.03146,-37.51077,MOORABOOL,MOLLONGGHIP ROAD,0.0 km,1
1297,T20140014076,146.10805,-38.355740000000004,SOUTH GIPPSLAND,GRAND RIDGE ROAD,0.0 km,1
1298,T20140014478,146.64749,-37.95661,WELLINGTON,STONEY NO1 TRACK,0.0 km,1
